i am father getting to really enjoy turkish airlines as date i had two legs on tk####[['Turkish Airlines', 'airline general', 'positive']]
information technology it was hours late####[['NULL', 'punctuality general', 'negative']]
it was hours lately####[['NULL', 'punctuality general', 'negative']]
it was hours late####[['NULL', 'punctuality general', 'negative']]
it was hours late####[['NULL', 'punctuality general', 'negative']]
it was hours hr late####[['NULL', 'punctuality general', 'negative']]
it was washington hours late####[['NULL', 'punctuality general', 'negative']]
it information technology was hours late####[['NULL', 'punctuality general', 'negative']]
it was hours hr late####[['NULL', 'punctuality general', 'negative']]
it late hours was####[['NULL', 'punctuality general', 'negative']]
it information technology was hours late####[['NULL', 'punctuality general', 'negative']]
it was information technology hours late####[['NULL', 'punctuality general', 'negative']]
it was hours late####[['NULL', 'punctuality general', 'negative']]
it hr was hours late####[['NULL', 'punctuality general', 'negative']]
it was hours late####[['NULL', 'punctuality general', 'negative']]
it was washington hours late####[['NULL', 'punctuality general', 'negative']]
it was minutes late####[['NULL', 'punctuality general', 'negative']]
it was hours late####[['NULL', 'punctuality general', 'negative']]
it hours late####[['NULL', 'punctuality general', 'negative']]
it was hours latterly####[['NULL', 'punctuality general', 'negative']]
once on the airplane the flight crew were excellent and very accommodating throughout the flight####[['flight crew', 'airline service', 'positive']]
once on the plane along the flight crew were excellent and very accommodating throughout the flight####[['flight crew', 'airline service', 'positive']]
once on the and the flight crew were excellent plane very accommodating throughout the flight####[['flight crew', 'airline service', 'positive']]
once on the plane the flight crew were excellent and very flat accommodating throughout the flight####[['flight crew', 'airline service', 'positive']]
once on the plane the flight crew were excellent and very accommodating throughout the one time flight####[['flight crew', 'airline service', 'positive']]
once on the plane the flight crew were excellent and very accommodating end to end the flight####[['flight crew', 'airline service', 'positive']]
once on the plane the flight crew were accommodating and very excellent throughout the flight####[['flight crew', 'airline service', 'positive']]
once on the plane the flight crowd were excellent and very accommodating throughout the flight####[['flight crew', 'airline service', 'positive']]
once on the plane the flight trajectory crew were excellent and very accommodating throughout the flight####[['flight crew', 'airline service', 'positive']]
once on the plane the crew were excellent and very throughout the flight####[['flight crew', 'airline service', 'positive']]
once on the plane the flight crew were excellent the very accommodating throughout and flight####[['flight crew', 'airline service', 'positive']]
once on the woodworking plane the flight crew were excellent and very accommodating throughout the flight####[['flight crew', 'airline service', 'positive']]
excellent on the plane the flight crew were once and very accommodating throughout the flight####[['flight crew', 'airline service', 'positive']]
once on the plane the flight work party were excellent and very accommodating throughout the flight####[['flight crew', 'airline service', 'positive']]
